product_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level
153019,onions,fruits & vegetables,aurora llc,947.95,1263.93,25.0,3,13,88
11422,potatoes,fruits & vegetables,ramaswamy-tata,127.16,169.55,25.0,3,20,65
669378,potatoes,fruits & vegetables,chadha and sons,212.14,282.85,25.0,3,23,70
848226,tomatoes,fruits & vegetables,barad and sons,209.59,279.45,25.0,3,10,51
890623,onions,fruits & vegetables,"sangha, nagar and varty",354.52,472.69,25.0,3,27,55
965755,bananas,fruits & vegetables,"doshi, sarraf and sama",532.57,710.09,25.0,3,21,91
222892,tomatoes,fruits & vegetables,ramakrishnan-ghose,869.22,1158.96,25.0,3,28,88
516376,onions,fruits & vegetables,agarwal-dhar,877.43,1169.91,25.0,3,21,71
39154,mangoes,fruits & vegetables,"suresh, bose and bajwa",946.86,1262.48,25.0,3,21,84
34186,mangoes,fruits & vegetables,mandal-kar,925.65,1234.2,25.0,3,27,74
196719,bananas,fruits & vegetables,yogi group,217.5,290.0,25.0,3,15,91
478531,carrots,fruits & vegetables,uppal group,825.46,1100.61,25.0,3,24,90
812607,potatoes,fruits & vegetables,rege group,416.65,555.53,25.0,3,11,63
818990,tomatoes,fruits & vegetables,dugar group,163.55,218.07,25.0,3,22,92
14145,spinach,fruits & vegetables,"thakur, shah and pingle",630.84,841.12,25.0,3,14,53
349294,onions,fruits & vegetables,ganesan ltd,934.75,1246.33,25.0,3,25,70
847349,potatoes,fruits & vegetables,chhabra-agrawal,781.08,1041.44,25.0,3,26,69
871592,carrots,fruits & vegetables,"shankar, nadkarni and kumer",870.29,1160.39,25.0,3,25,50
284460,potatoes,fruits & vegetables,"ramakrishnan, anand and khare",505.95,674.6,25.0,3,21,85
473929,carrots,fruits & vegetables,"bhardwaj, bhatia and deshmukh",440.19,586.92,25.0,3,19,70
77308,onions,fruits & vegetables,ratta-sagar,223.27,297.69,25.0,3,29,91
654297,potatoes,fruits & vegetables,chandran-dass,13.25,17.67,25.0,3,20,86
70969,carrots,fruits & vegetables,mohan group,631.7,842.27,25.0,3,25,96
552883,potatoes,fruits & vegetables,"balan, patel and mall",888.16,1184.21,25.0,3,18,94
952124,onions,fruits & vegetables,"wali, sood and bala",127.08,169.44,25.0,3,15,50
397973,bananas,fruits & vegetables,"wable, randhawa and mutti",728.73,971.64,25.0,3,27,82
555121,carrots,fruits & vegetables,"subramanian, chaudhuri and dora",354.91,473.21,25.0,3,30,67
818522,cheese,dairy & breakfast,hora-roy,96.09,120.11,20.0,7,12,90
462526,curd,dairy & breakfast,pau and sons,449.97,562.46,20.0,7,25,69
376447,butter,dairy & breakfast,gara and sons,724.84,906.05,20.0,7,17,64
217710,eggs,dairy & breakfast,rout-sarna,58.59,73.24,20.0,7,19,53
146840,bread,dairy & breakfast,"bains, deol and vaidya",786.85,983.56,20.0,7,19,89
89084,milk,dairy & breakfast,"wali, virk and iyer",598.83,748.54,20.0,7,27,74
888807,bread,dairy & breakfast,arya group,230.58,288.23,20.0,7,13,91
136533,eggs,dairy & breakfast,"raghavan, magar and shanker",826.21,1032.76,20.0,7,15,75
714999,bread,dairy & breakfast,kala group,882.51,1103.14,20.0,7,27,81
382511,butter,dairy & breakfast,bora-thakkar,702.54,878.17,20.0,7,26,88
15314,cheese,dairy & breakfast,banik-ratta,578.85,723.56,20.0,7,30,91
67197,butter,dairy & breakfast,shetty-bora,552.2,690.25,20.0,7,20,79
880510,bread,dairy & breakfast,roy-char,951.43,1189.29,20.0,7,29,54
41853,curd,dairy & breakfast,handa plc,910.44,1138.05,20.0,7,14,92
257719,eggs,dairy & breakfast,chaudhuri plc,281.73,352.16,20.0,7,17,93
891833,curd,dairy & breakfast,mani plc,493.19,616.49,20.0,7,11,69
741341,eggs,dairy & breakfast,prasad llc,923.84,1154.8,20.0,7,13,62
500739,bread,dairy & breakfast,aggarwal group,359.98,449.98,20.0,7,18,81
500633,cereal,dairy & breakfast,trivedi-ahluwalia,154.5,193.12,20.0,7,24,87
799952,cheese,dairy & breakfast,padmanabhan-virk,922.64,1153.3,20.0,7,13,66
798639,eggs,dairy & breakfast,subramaniam llc,211.25,264.06,20.0,7,12,78
329351,cheese,dairy & breakfast,"lala, kalita and sathe",310.87,388.59,20.0,7,23,95
833557,cereal,dairy & breakfast,"gole, chand and dada",422.87,528.59,20.0,7,27,69
324809,bread,dairy & breakfast,sidhu plc,608.0,760.0,20.0,7,26,76
337168,eggs,dairy & breakfast,dasgupta plc,545.49,681.86,20.0,7,25,98
659290,cheese,dairy & breakfast,kapadia-d’alia,319.34,399.17,20.0,7,18,66
883013,eggs,dairy & breakfast,chahal group,989.88,1237.35,20.0,7,13,98
839170,curd,dairy & breakfast,shetty and sons,481.63,602.04,20.0,7,11,59
455083,butter,dairy & breakfast,dutta inc,959.01,1198.76,20.0,7,29,63
183929,bread,dairy & breakfast,"nagi, sampath and khurana",738.74,923.42,20.0,7,20,73
592784,biscuits,snacks & munchies,"andra, mander and kari",280.35,431.31,35.0,90,27,64
578097,nuts,snacks & munchies,jha group,267.61,411.71,35.0,90,22,75
